Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
1242;2004;COFECyT;PFIP ;SAN LUIS;SAN LUIS;;;;;;;Sistema automático de dosificación de medicamentos en pequeña y mediana escala ;Silvia Liliana Arce ;Provincia de San Luis;Desarrollo productivo local;$ 81,273; $ 144,374 ;;
1243;2004;COFECyT;PFIP ;SAN LUIS;SAN LUIS;;;;;;;Control de Varroa Destructor, un parásito de la abeja melífera mediante aceites esenciales provenientes de especies y vegetales cosechadas;Universidad Nacional de San Luis ;Provincia de San Luis;Desarrollo productivo local;$ 45,000; $ 79,938 ;;
1244;2004;COFECyT;PFIP ;SAN LUIS;SAN LUIS;;;;;;;Desarrollo de nuevas tecnologías productivas frutihortícolas bajo cubierta, a través del desarrollo de emprendimientos productivos, formados por personas debidamente entrenadas y capacitadas al efecto;Sol Puntano SAPEM ;Provincia de San Luis;Desarrollo productivo local;$ 111,732; $ 198,481 ;;
1245;2004;COFECyT;PFIP ;SAN LUIS;SAN LUIS;;;;;;;Fortalecimiento de la Agencia de Desarrollo Productivo para el apoyo al crecimiento agrícola de la región;Agencia de Gestión Empresarial San Luis - AGEMSAL;Provincia de San Luis;Desarrollo productivo local;$ 145,580; $ 258,609 ;;
1246;2004;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Criadero experimental demostrativo de choique en la chacra de la Universidad Nacional de la Patagonia Austral;Unidad Académica Río Gallegos de la Universidad Nacional de la Patagonia Austral ;Provincia de Santa Cruz;Desarrollo productivo local;$ 77,074; $ 136,915 ;;
1247;2004;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Producción de flores nativas en Santa Cruz ;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de Santa Cruz;Desarrollo productivo local;$ 63,000; $ 111,913 ;;
1248;2004;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Producción de semilla de mejillón para cultivo ;Ministerio de la Producción de Santa Cruz ;Provincia de Santa Cruz;Desarrollo productivo local;$ 60,695; $ 107,819 ;;
1249;2004;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Suministro energético con energía eólica y solar para escuela rural Nº 25 Casimiro Bigua (Paraje Glencross);Consejo Provincial de Educación de la Provincia de Santa Cruz ;Provincia de Santa Cruz;Desarrollo productivo local;$ 91,656; $ 162,818 ;;
1250;2004;COFECyT;PFIP ;SANTA CRUZ;SANTA CRUZ;;;;;;;Producción de cultivos frutihortícolas, aromáticas ornamentales “sin suelo” (hidropónico) módulo demostrativo, transferencia técnica y asistencia técnica;Unidad Académica Río Gallegos de la Universidad Nacional de la Patagonia Austral ;Provincia de Santa Cruz;Desarrollo productivo local;$ 47,576; $ 84,514 ;;
1251;2004;COFECyT;PFIP ;SANTA FE;SANTA FE;;;;;;;Mejora de la competitividad e internacionalización de empresas metalmecánica en especial del sector de la maquinaria agrícola, transporte, agropartes y autopartes;Ministerio de la Producción de la Provincia de Santa Fe;Provincia de Santa Fe;Desarrollo productivo local;$ 150,000; $ 266,461 ;;
1252;2004;COFECyT;PFIP ;SANTA FE;SANTA FE;;;;;;;Implementación de un sistema diversificado: La flora melífera como herramienta de sustentabilidad;Universidad Nacional de Rosario ;Provincia de Santa Fe;Desarrollo productivo local;$ 45,923; $ 81,578 ;;
1253;2004;COFECyT;PFIP ;SANTA FE;SANTA FE;;;;;;;Desarrollo de herramentales de coquillas para fabricación de piezas de reposición de autopartes y repuestos automotor;Ra Fundiciones SRL ;Provincia de Santa Fe;Desarrollo productivo local;$ 48,150; $ 85,534 ;;
1254;2004;COFECyT;PFIP ;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;;;;;;;Desarrollo, transferencia y evaluación de impacto de sistema de prevención y control del mal de chagas y enfermedades relacionadas con condiciones ambientales desfavorables;Fundación Mundo Sano ;Provincia de Santiago Del Estero;Desarrollo productivo local;$ 139,625; $ 248,030 ;;
1255;2004;COFECyT;PFIP ;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;;;;;;;Control de la enfermedad de Chagas congénita en la Pcia de Santiago del Estero ;Universidad Católica de Santiago del Estero ;Provincia de Santiago Del Estero;Desarrollo productivo local;$ 97,701; $ 173,556 ;;
