Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1847;1847-2;3;INGENIO Y REFINERIA SAN MARTIN DEL TABACAL;Privado;Empresa privada;SRL;Ingenio y Refinería San Martin del Tabacal S.R.L.;Ingenio y Refinería San Martin del Tabacal S.R.L.;beneficiario;854;2010;COFECyT;ESPRO ;JUJUY;Incorporación de nuevas tecnologías en la fabricación de equipos y maquinarias para la industria alco-azucarera;Desarrollo productivo regional; $ 1,098,925 ; $ 274,731 ;4
1847;1847-3;3;PROSAL;Privado;Empresa privada;SA;Prosal SA;Prosal SA;beneficiario;854;2010;COFECyT;ESPRO ;JUJUY;Incorporación de nuevas tecnologías en la fabricación de equipos y maquinarias para la industria alco-azucarera;Desarrollo productivo regional; $ 1,098,925 ; $ 274,731 ;4
1848;1848-1;3;Ledesma S.A.A.I.;Privado;Empresa privada;SA;Ledesma SAAI;Ledesma SAAI;beneficiario;995;2009;COFECyT;ESPRO ;INTERPROVINCIAL;Tratamiento de vinaza con sistemas de abatimiento de membranas post-biodigestores y aprovechamiento como nueva fuente de energia renovable en la industria alco-azucarera;Desarrollo productivo regional; $ 867,109 ; $ 173,422 ;5
1848;1848-2;3;Ingenio y Refinería San Martin del Tabacal S.R.L.;Privado;Empresa privada;SRL;Ingenio y Refinería San Martin del Tabacal S.R.L.;Ingenio y Refinería San Martin del Tabacal S.R.L.;beneficiario;995;2009;COFECyT;ESPRO ;INTERPROVINCIAL;Tratamiento de vinaza con sistemas de abatimiento de membranas post-biodigestores y aprovechamiento como nueva fuente de energia renovable en la industria alco-azucarera;Desarrollo productivo regional; $ 867,109 ; $ 173,422 ;5
1848;1848-3;3;Prosal SA;Privado;Empresa privada;SA;Prosal SA;Prosal SA;beneficiario;995;2009;COFECyT;ESPRO ;INTERPROVINCIAL;Tratamiento de vinaza con sistemas de abatimiento de membranas post-biodigestores y aprovechamiento como nueva fuente de energia renovable en la industria alco-azucarera;Desarrollo productivo regional; $ 867,109 ; $ 173,422 ;5
1849;1849-1;1;Leonardo A. Schenkel;Privado;Persona física;Persona física;Leonardo A. Schenkel;Leonardo A. Schenkel;beneficiario;1535;2007;COFECyT;PFIP ;LA PAMPA;Leche ovina, bubalina y caprina para agregar valor y diversificación a la actividad pecuaria de La Pampa;Desarrollo productivo local; $ 492,683 ; $ 246,342 ;2
1850;1850-1;1;LEONARDO OTHEGUY;Privado;Persona física;Persona física;LEONARDO OTHEGUY;LEONARDO OTHEGUY;beneficiario;1121;2016;COFECyT;VITEF ;RÍO NEGRO;VITEF 2016 - RIO NEGRO ;Vinculación tecnológica; $ 40,266 ; $ 40,266 ;1
1851;1851-1;2;LEyDeC (Facultad de Ciencias ForestalesUNaM);Estado;Nacional;Universidad pública;UNAM;UNAM;otraentidad;3133;2022;Programa Nacional de Tecnologías para la Inclusión Social;PEIS;MISIONES;Especies nativas marginadas o infrautilizadas (NUS) de importancia cultural. Estrategias de diferenciación como herramienta de fortalecimiento de la conservación a partir del uso;Desarrollo productivo ; $ 45,643 ; $ 9,129 ;5
1851;1851-2;2;Instituto de Biología Subtropical, UNaM, COINCET;Estado;Nacional;Organismo CyT público;Instituto de Biología Subtropical (IBS) (CONICET-UNaM);Instituto de Biología Subtropical (IBS) (CONICET-UNaM);otraentidad;3133;2022;Programa Nacional de Tecnologías para la Inclusión Social;PEIS;MISIONES;Especies nativas marginadas o infrautilizadas (NUS) de importancia cultural. Estrategias de diferenciación como herramienta de fortalecimiento de la conservación a partir del uso;Desarrollo productivo ; $ 45,643 ; $ 9,129 ;5
1852;1852-1;1;Libertate;Comunidad;?;Organización social;Libertate;Libertate;beneficiario;2922;2021;Programa Nacional de Tecnologías para la Inclusión Social;PROCODAS;CABA;Inclusión socio-digital de personas adultas mayores con discapacidad.;Discapacidad; $ 27,776 ; $ 13,888 ;2
