N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
187;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2015; 2 ; $ 42,659,918 ; $ 9,182,146 ;;
188;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2016; 2 ; $ 62,704,809 ; $ 9,563,973 ;;
189;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2018; 2 ; $ 106,509,564 ; $ 9,076,999 ;;
190;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2019; 2 ; $ 91,239,920 ; $ 5,211,738 ;;
191;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2011; 1 ; $ 4,299,300 ; $ 2,491,228 ;;
192;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2012; 3 ; $ 10,855,721 ; $ 5,142,747 ;;
193;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2013; 6 ; $ 11,794,242 ; $ 4,507,796 ;;
194;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2014; 7 ; $ 30,168,570 ; $ 8,219,473 ;;
195;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2015; 1 ; $ 2,663,044 ; $ 573,195 ;;
196;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2016; 2 ; $ 9,070,255 ; $ 1,383,429 ;;
197;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2017; 1 ; $ 6,170,121 ; $ 746,859 ;;
198;59;FIT-PDP;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FONTAR;2018; 2 ; $ 16,291,737 ; $ 1,388,421 ;;
199;48;FITR;Fondo de Innovación Tecnológica Regional;FONARSEC;2014; 7 ; $ 57,885,247 ; $ 15,770,923 ;;
200;48;FITR;Fondo de Innovación Tecnológica Regional;FONARSEC;2015; 51 ; $ 557,102,514 ; $ 119,911,070 ;;
201;49;FITS y FTS;Fondo de Innovación Tecnológica Sectorial y Fondo Sectorial;FONARSEC;2012; 10 ; $ 134,899,463 ; $ 63,906,749 ;;
202;49;FITS y FTS;Fondo de Innovación Tecnológica Sectorial y Fondo Sectorial;FONARSEC;2013; 14 ; $ 154,886,738 ; $ 59,198,188 ;;
